chromosome,context,pos,mC,uC,coverage,N,Sx,Sx2,log_x_sum,log_1_minus_x_sum,alpha,beta,sum_mC,sum_uC,sum_cov,sum_cov2,sum_mC2,sum_uC2,Sx3,Sx4,count_zero,count_one,mean,variance
1,CG,1000028,5,385,390,35,0.40882351994514465,0.04471020773053169,6.8167437292612165e-22,0.0,0.10312399460177529,8.725477186529954,474875648,474875904,474876160,2.34620123e-315,2.346202496e-315,2.34620376e-315,6.817648458056196e-22,0.0,474877440,0,0.011680671998432705,0.0011745551261414045
1,CG,1000029,49,825,874,69,4.044024467468262,0.7164801359176636,2.5994002435317497e-39,0.0,0.40001050008452294,6.425053177908344,1854995,1854996,1854997,9.16491e-318,9.164913e-318,9.16492e-318,2.599410052621e-39,0.0,1855002,0,0.058609050253163215,0.007050936804099921
1,CG,1000036,1,368,369,33,0.1111111119389534,0.012345679104328156,1.0153808672497624e-41,2.710505431213761e-20,1.0,1.0,2305843009213701198,2377900603251629134,2449958197289557070,4.198672567236186e-140,2.751642053663907e-135,1.803316136289178e-130,1.0153808672497624e-41,4.440892098500626e-16,7246,654311424,0.003367003392089497,0.0003741114879228395
1,CG,1000037,60,831,891,71,5.159911155700684,0.9553383588790894,3.923635700109488e-44,717225984.0,0.5180881210718855,6.610766521214838,5632877233933647900,5633158708910358556,5633440183887069212,4.1787917334083626e+68,4.313591466744129e+68,4.583190933415636e+68,3.923635700109488e-44,746586112.0,28,1311965184,0.07267480500986878,0.00829061173957565
1,CG,1000040,7,371,378,34,0.5209457278251648,0.07011905312538147,0.0,6.823076830826076e-22,0.1074457187365938,6.90509751162123,2039629253896568832,2039630353408196608,2039631452919824384,2.444541275148284e-172,2.444857148164843e-172,2.4451730211814016e-172,0.0,6.8239815596210555e-22,0,474889984,0.015321933171328376,0.0018829441665986447
1,CG,1000041,45,865,910,72,3.8465728759765625,0.8523374199867249,0.0,2.5994689071565016e-39,0.24312849725095095,4.307741164258909,7967353312641024,7967357607608320,7967361902575616,3.9364019260427555e-308,3.9364040480385465e-308,3.9364061700343374e-308,0.0,2.599478716245752e-39,0,1855051,0.05342462327745226,0.009110362157442407
1,CG,1000044,6,382,388,35,0.4583333432674408,0.05784722417593002,2147483648.0,1.0153808672497624e-41,0.09789175611783846,7.377478549038264,31122675204096,31122691981312,31122708758528,1.5376669492157e-310,1.53766777812033e-310,1.53766860702493e-310,35184372088832.0,1.0153808672497624e-41,1459617792,7246,0.013095238379069738,0.0015248599937872614
1,CG,1000045,50,875,925,72,4.005495071411133,0.5820671319961548,918552576.0,3.923635700109488e-44,0.5220247151811753,8.861529333183483,121573736448,121573801984,121573867520,6.0065503753e-313,6.0065536132e-313,6.0065568511e-313,947912704.0,3.923635700109488e-44,1315110912,28,0.05563187599182129,0.00505963277320506
1,CG,1000047,3,384,387,35,0.22007575631141663,0.016615157946944237,6.829280685420223e-22,0.0,1.0,1.0,474900480,474900736,474900992,2.34632392e-315,2.346325183e-315,2.34632645e-315,6.830185414215203e-22,0.0,474902272,0,0.006287878751754761,0.00044798083161933297
1,CG,1000048,31,910,941,72,2.409376859664917,0.2999117374420166,2.5995361694827892e-39,0.0,0.31697456120795,9.155254042393059,1855092,1855093,1855094,9.165387e-318,9.16539e-318,9.165397e-318,2.5995459785720395e-39,0.0,1855099,0,0.03346356749534607,0.0030885266517872495
1,CG,1000051,6,414,420,39,0.5057932734489441,0.14263607561588287,1.0153808672497624e-41,-0.0,0.033391472037513095,2.5413114309548583,9295429630892710990,9367487224930638926,9439544818968566862,-2.05226840065249e-289,-1.344974619051616e-284,-8.81442566341667e-280,1.0153808672497624e-41,-9.62964972193618e-35,7246,2281701376,0.01296905829356267,0.00358095824126399
1,CG,1000052,37,943,980,75,3.1916794776916504,0.48834535479545593,3.923635700109488e-44,1174405120.0,0.3214230868049816,7.231569523784027,5660180306674581532,5660461781651292188,5660743256628002844,2.7606985387162427e+70,2.933242197386007e+70,3.105785856055771e+70,3.923635700109488e-44,1233125376.0,28,1318322176,0.042555726369222,0.0047637988687101165
1,CG,1000053,5,397,402,37,0.4763888716697693,0.07335840910673141,0.0,6.835613786985082e-22,0.07475713045415476,5.731452861623735,2039735906524463104,2039737006036090880,2039738105547718656,2.4751809577544843e-172,2.475496830771043e-172,2.4758127037876018e-172,0.0,6.836518515780062e-22,0,474914816,0.012875374909993765,0.0018673534383620617
1,CG,1000054,47,943,990,75,3.988171339035034,0.6598911881446838,0.0,2.599604833107541e-39,0.3892344224622743,6.930556830973171,7967769924468736,7967774219436032,7967778514403328,3.936607759634479e-308,3.93660988163027e-308,3.936612003626061e-308,0.0,2.5996146421967914e-39,0,1855148,0.053175617853800455,0.0060515907173605025
1,CG,1000055,7,392,399,36,0.7116013169288635,0.1247950866818428,-4.656612873077393e-10,1.0153808672497624e-41,0.10129431132251035,5.023197620969558,31124302594048,31124319371264,31124336148480,1.5377473529625e-310,1.5377481818671e-310,1.5377490107717e-310,-7.62939453125e-06,1.0153808672497624e-41,3087007744,7246,0.019766703248023987,0.003163687846263054
1,CG,1000056,51,949,1000,76,4.43999719619751,0.7334617376327515,1577058304.0,3.923635700109488e-44,0.44998581840289564,7.25247900024803,121580093440,121580158976,121580224512,6.0068644524e-313,6.0068676903e-313,6.00687092823e-313,1635778560.0,3.923635700109488e-44,1321467904,28,0.05842101573944092,0.006320967887341642
1,CG,1000058,9,412,421,40,0.8202014565467834,0.08787006139755249,6.84181764157923e-22,0.0,0.2055492858127506,9.81878237914943,474925312,474925568,474925824,2.346446604e-315,2.34644787e-315,2.346449134e-315,6.84272237037421e-22,0.0,474927104,0,0.020505036413669585,0.0018218410426798937
1,CG,1000059,35,969,1004,76,2.8981637954711914,0.4413217306137085,2.5996720954338287e-39,0.0,0.27898651574986844,7.0370165445750095,1855189,1855190,1855191,9.165866e-318,9.16587e-318,9.165876e-318,2.599681904523079e-39,0.0,1855196,0,0.03813373415093673,0.004410718972151204
1,CG,1000063,9,376,385,36,0.8403540849685669,0.1404290497303009,1.0153808672497624e-41,-1.4757395258967641e+20,0.13083316481053078,5.473939891484285,16285016252571720782,16357073846609648718,16429131440647576654,-3.2418090381934916e+178,-2.1245519712704867e+183,-1.392346379891826e+188,1.0153808672497624e-41,-2.4178516392292583e+24,7246,3909091328,0.023343169026904635,0.0034517863509265674
1,CG,1000064,32,991,1023,77,2.436800956726074,0.32737061381340027,3.923635700109488e-44,1988100096.0,0.26288048076124493,8.043828757325812,5687483379415515164,5687764854392225820,5688046329368936476,1.8772750063270443e+72,1.9877029478756934e+72,2.0981308894243424e+72,3.923635700109488e-44,2046820352.0,28,1324679168,0.0316467656717672,0.003292812433515159
1,CG,1000076,5,350,355,33,0.5166667103767395,0.07867284119129181,0.0,6.848150743144089e-22,0.09373549650014243,5.893240870235717,2039842559152357376,2039843658663985152,2039844758175612928,2.5058206403606845e-172,2.5061365133772433e-172,2.506452386393802e-172,0.0,6.849055471939069e-22,0,474939648,0.01565656698111332,0.002205737944792716
1,CG,1000077,40,1031,1071,77,2.790560007095337,0.326819509267807,0.0,2.5997407590585806e-39,0.3900216373311737,10.37185626464593,7968186536296448,7968190831263744,7968195126231040,3.936813593226203e-308,3.9368157152219937e-308,3.9368178372177847e-308,0.0,2.599750568147831e-39,0,1855245,0.036241039053186194,0.0029695620404000707
1,CG,1000083,9,368,377,35,0.846897542476654,0.14315736293792725,1.0097419586828951e-28,1.0155209970961949e-41,0.1341632233103025,5.410442328535459,31125929984000,31125946761216,31125963538432,1.53782775670926e-310,1.53782858561386e-310,1.53782941451847e-310,1.6543612251060553e-24,1.0155209970961949e-41,419430400,7247,0.024197072642190117,0.00360779181123904
1,CG,1000084,30,1106,1136,82,2.421719551086426,0.39237895607948303,2634022912.0,3.923635700109488e-44,0.18415130213643452,6.051255588150809,121586450432,121586515968,121586581504,6.00717852955e-313,6.00718176746e-313,6.00718500537e-313,2751463424.0,3.923635700109488e-44,1327824896,28,0.029533165257151533,0.003961208794700899
1,CG,1000095,12,354,366,34,1.1876696348190308,0.20476002991199493,6.854354597738237e-22,0.0,0.20307635053744652,5.610489742128768,474950144,474950400,474950656,2.34656929e-315,2.346570556e-315,2.34657182e-315,6.855259326533217e-22,0.0,474951936,0,0.03493145984761855,0.00494766653791146
1,CG,1000096,19,1146,1165,81,1.3007349967956543,0.15613219141960144,2.5998080213848682e-39,0.0,0.1340301142146756,8.212358103318822,1855286,1855287,1855288,9.166346e-318,9.16635e-318,9.166355e-318,2.5998178304741185e-39,0.0,1855293,0,0.016058456750563634,0.001690554934120174
1,CG,1000097,9,336,345,32,0.8663941621780396,0.16228707134723663,1.0155209970961949e-41,32.0,0.13217909854610363,4.7498149615733,4827858800541178959,4899916394579106895,4971973988617034831,1.5845632502878366e+29,1.0384593717086366e+34,6.80564733842972e+38,1.0155209970961949e-41,524288.0,7247,1241513984,0.027074817568063736,0.004478374434330025
1,CG,1000098,18,1164,1182,83,1.2435907125473022,0.11851391196250916,3.923635700109488e-44,3456106496.0,0.1665571410341086,10.94983554857854,5714786452156448796,5715067927133159452,5715349402109870108,1.2721298866404437e+74,1.342803769231579e+74,1.4134776518227145e+74,3.923635700109488e-44,3573547008.0,28,1331036160,0.014983020633100027,0.0012180630080156263
1,CG,1000099,13,376,389,37,1.3609849214553833,0.19816666841506958,0.0,6.860687699303096e-22,0.27999810703710454,7.332084728748005,2039949211780251648,2039950311291879424,2039951410803507200,2.5364603229668848e-172,2.5367761959834435e-172,2.5370920690000023e-172,0.0,6.861592428098076e-22,0,474964480,0.0367833762555509,0.0041140291103068
1,CG,1000100,17,1161,1178,83,1.1552475690841675,0.12544842064380646,0.0,2.59987668500962e-39,0.12930889724180825,9.16102744129598,7968603148124160,7968607443091456,7968611738058752,3.9370194268179264e-308,3.9370215488137174e-308,3.9370236708095083e-308,0.0,2.5998864940988704e-39,0,1855342,0.01391864541065262,0.001333767553270799
1,CG,1000101,13,370,383,37,1.2664682865142822,0.1727249175310135,2.535301200456459e+30,1.0155209970961949e-41,0.2806264863720096,7.917904899156894,31127557373952,31127574151168,31127590928384,1.537908160456e-310,1.53790898936063e-310,1.53790981826523e-310,4.153837486827862e+34,1.0155209970961949e-41,2046820352,7247,0.03422887260849412,0.003593753774700508
1,CG,1000102,30,1163,1193,82,1.983361005783081,0.25030434131622314,4261412864.0,3.923635700109488e-44,0.20435278631195258,8.244400833790634,121592807424,121592872960,121592938496,6.0074926067e-313,6.0074958446e-313,6.0074990825e-313,4462739456.0,3.923635700109488e-44,1334181888,28,0.02418732933881806,0.002497927598414547
1,CG,1000111,12,339,351,34,1.2297979593276978,0.17142805457115173,6.866891553897244e-22,0.0,0.29162735709009896,7.770941023234623,474974976,474975232,474975488,2.346691977e-315,2.34669324e-315,2.346694507e-315,6.867796282692224e-22,0.0,474976768,0,0.036170528215520525,0.003846836751027263
1,CG,1000112,1,139,140,15,0.1111111119389534,0.012345679104328156,2.5999439473359077e-39,0.0,1.0,1.0,1855383,1855384,1855385,9.166825e-318,9.16683e-318,9.166835e-318,2.599953756425158e-39,0.0,1855390,0,0.0074074074625968935,0.0008230452731838652
1,CG,1000131,13,317,330,33,1.3483388423919678,0.200788214802742,1.0155209970961949e-41,-6.938893903907228e-18,0.3108254250183443,7.296490112527773,11817445422220188751,11889503016258116687,11961560610296044623,-7.7451838297111e-121,-5.075883674639466e-116,-3.326531125011721e-111,1.0155209970961949e-41,-1.1368683772161603e-13,7247,2868903936,0.0408587527997566,0.004553024104723082
1,CG,1000132,18,1347,1365,85,1.1658735275268555,0.14359888434410095,3.923635700109488e-44,5872025600.0,0.10842717502016688,7.796641135660633,5742089524897382428,5742370999874093084,5742652474850803740,8.593944123082106e+75,9.046256971665373e+75,9.498569820248639e+75,3.923635700109488e-44,6106906624.0,28,1337393152,0.01371615914737477,0.0015191378273194211
1,CG,1000134,11,300,311,31,1.2387425899505615,0.17574076354503632,0.0,6.873224655462103e-22,0.32433128490793445,7.792181309163151,2040055864408145920,2040056963919773696,2040058063431401472,2.567100005573085e-172,2.5674158785896438e-172,2.5677317516062025e-172,0.0,6.874129384257083e-22,0,474989312,0.039959438385501984,0.00420804351154699
1,CG,1000135,38,1372,1410,87,2.6146554946899414,0.3681078851222992,0.0,2.6000126109606597e-39,0.2301694653141129,7.428485192248127,7969019759951872,7969024054919168,7969028349886464,3.93722526040965e-308,3.937227382405441e-308,3.937229504401232e-308,0.0,2.60002242004991e-39,0,1855439,0.030053511433217717,0.00336660821300825
1,CG,1000137,16,295,311,31,1.587276577949524,0.2736029326915741,-549755813888.0,1.0155209970961949e-41,0.33679471780713804,6.24090975856629,31129184763904,31129201541120,31129218318336,1.5379885642028e-310,1.5379893931074e-310,1.537990222012e-310,-9007199254740992.0,1.0155209970961949e-41,3674210304,7247,0.051202470256436254,0.006411015030679189
1,CG,1000138,25,1400,1425,89,1.6571869850158691,0.24327881634235382,7482638336.0,3.923635700109488e-44,0.12233594460842977,6.447773022332309,121599164416,121599229952,121599295488,6.0078066838e-313,6.00780992173e-313,6.00781315964e-313,7717519360.0,3.923635700109488e-44,1340538880,28,0.018620078483324372,0.0024138848252251667
1,CG,1000139,4,266,270,26,0.36993464827537537,0.03580588847398758,6.879428510056251e-22,0.0,0.14912095966996117,10.331500332480228,474999808,475000064,475000320,2.346814664e-315,2.34681593e-315,2.346817193e-315,6.8803332388512305e-22,0.0,475001600,0,0.014228255702899052,0.0012216945481985405
1,CG,1000140,35,1392,1427,89,2.136512279510498,0.25401943922042847,2.6000798732869473e-39,0.0,0.2201353273219803,8.949970699938968,1855480,1855481,1855482,9.167304e-318,9.16731e-318,9.167314e-318,2.6000896823761975e-39,0.0,1855487,0,0.02400575594955616,0.0023037596233553355
1,CG,1000154,7,288,295,31,0.7602564096450806,0.10889555513858795,1.0156611269426274e-41,1.504632769052528e-36,0.17049767353705783,6.781667165318099,360287970189646928,432345564227574864,504403158265502800,3.785766995739772e-270,2.481040258328017e-265,1.625974543697849e-260,1.0156611269426274e-41,2.465190328815662e-32,7248,201326592,0.024524400311131633,0.0030083574203116107
1,CG,1000155,21,1292,1313,85,1.4579567909240723,0.20002129673957825,3.923635700109488e-44,9663676416.0,0.12163324028037228,6.969678030528114,5769392597638316060,5769674072615026716,5769955547591737372,5.789604461865839e+77,6.079084684959129e+77,6.36856490805242e+77,3.923635700109488e-44,10133438464.0,28,1343750144,0.01715243283440085,0.002083497509616601
1,CG,1000160,14,264,278,29,1.5622767210006714,0.3716970682144165,0.0,6.88576161162111e-22,0.21351383371187943,3.7498692817188233,2040162517036040192,2040163616547667968,2040164716059295744,2.607847624709166e-172,2.608479370742283e-172,2.609111116775401e-172,0.0,6.88666634041609e-22,0,475014144,0.05387161106898867,0.010269096582804765
1,CG,1000161,19,1312,1331,86,1.0585380792617798,0.11980185657739639,0.0,2.6001485369116992e-39,0.10681447526697554,8.57123410222606,7969436371779584,7969440666746880,7969444961714176,3.9374310940013737e-308,3.9374332159971646e-308,3.9374353379929556e-308,0.0,2.6001583460009494e-39,0,1855536,0.012308582316997439,0.001256150041095605
1,CG,1000178,8,215,223,24,0.8900544047355652,0.16387297213077545,1.1920928955078125e-07,1.0156611269426274e-41,0.19567174457340217,5.080547152581394,31130812153856,31130828931072,31130845708288,1.53806896794956e-310,1.53806979685416e-310,1.53807062575877e-310,0.001953125,1.0156611269426274e-41,1006632960,7248,0.037085600197315216,0.005689772622734473
1,CG,1000179,3,1271,1274,85,0.26309525966644287,0.025171486660838127,12884901888.0,3.923635700109488e-44,1.0,1.0,121605521408,121605586944,121605652480,6.00812076096e-313,6.00812399886e-313,6.00812723677e-313,13354663936.0,3.923635700109488e-44,1346895872,28,0.0030952383490169748,0.0002899660014723092
1,CG,1000191,9,230,239,25,1.0694444179534912,0.27719905972480774,6.891965466215257e-22,0.0,0.13885829988789963,3.107179959716593,475024640,475024896,475025152,2.34693735e-315,2.346938615e-315,2.34693988e-315,6.892870195010237e-22,0.0,475026432,0,0.04277777671813965,0.009643775216713854
1,CG,1000192,11,1153,1164,80,0.7644173502922058,0.08456867933273315,2.6002157992379868e-39,0.0,1.0,1.0,1855577,1855578,1855579,9.167783e-318,9.16779e-318,9.167793e-318,2.600225608327237e-39,0.0,1855584,0,0.009555216878652573,0.0009780317185428633
1,CG,1000194,7,215,222,23,0.807539701461792,0.18932271003723145,1.0156611269426274e-41,3.777893186295716e+22,0.12745508009612205,3.50266593674593,7349874591868656720,7421932185906584656,7493989779944512592,5.980082166339388e+197,3.919106648532181e+202,2.5684257331820503e+207,1.0156611269426274e-41,6.189700196426902e+26,7248,1828716544,0.03511042180268661,0.007316802295295105
1,CG,1000195,13,1110,1123,78,0.9578571319580078,0.13457761704921722,3.923635700109488e-44,16173236224.0,0.08110660569520216,6.523547713987947,5796695670379249692,5796977145355960348,5797258620332671004,3.8906141983738426e+79,4.0758815411535485e+79,4.2611488839332544e+79,3.923635700109488e-44,16642998272.0,28,1350107136,0.01228021964048728,0.0015949989751242297
1,CG,1000198,6,188,194,19,0.6638889312744141,0.1072608008980751,0.0,6.898298567780117e-22,0.21734977207632694,6.003036613222888,2040269169663934464,2040270269175562240,2040271368687190016,2.669126989921566e-172,2.6697587359546837e-172,2.670390481987801e-172,0.0,6.899203296575096e-22,0,475038976,0.034941522698653374,0.004670195040920302
1,CG,1000199,4,1088,1092,78,0.17804965376853943,0.011810810305178165,0.0,2.6002844628627387e-39,1.0,1.0,7969852983607296,7969857278574592,7969861573541888,3.9376369275930973e-308,3.9376390495888883e-308,3.937641171584679e-308,0.0,2.600294271951989e-39,0,1855633,0.0022826878688274287,0.0001481088119541792
1,CG,1000200,1,183,184,18,0.06666667014360428,0.004444445017725229,-2.5849394142282115e-26,1.0156611269426274e-41,1.0,1.0,31132439543808,31132456321024,31132473098240,1.5381493716963e-310,1.53815020060093e-310,1.53815102950554e-310,-4.235164736271502e-22,1.0156611269426274e-41,2634022912,7248,0.0037037038968669046,0.00024691361245430713
1,CG,1000201,13,1026,1039,76,0.9453315138816833,0.11455683410167694,21609054208.0,3.923635700109488e-44,0.09903725573214152,7.863070560536855,121611878400,121611943936,121612009472,6.0084348381e-313,6.008438076e-313,6.0084413139e-313,22548578304.0,3.923635700109488e-44,1353252864,28,0.012438572551074781,0.0013706434597525634
1,CG,1000211,4,181,185,19,0.4444444477558136,0.07407407462596893,6.904502422374264e-22,0.0,0.12766251579064558,5.329909993597369,475049472,475049728,475049984,2.347060036e-315,2.3470613e-315,2.347062566e-315,6.905407151169244e-22,0.0,475051264,0,0.023391813039779663,0.0035376507331942677
1,CG,1000212,17,940,957,74,1.4038605690002441,0.22601839900016785,2.6003517251890263e-39,0.0,0.11029818589594774,5.703716351254794,1855674,1855675,1855676,9.168263e-318,9.168267e-318,9.16827e-318,2.6003615342782765e-39,0.0,1855681,0,0.01897108877027357,0.002731310075679143
1,CG,1000215,5,163,168,17,0.5492424368858337,0.08561785519123077,1.0156611269426274e-41,-8192.0,0.20580950888509075,6.164349488449997,14339461213547666512,14411518807585594448,14483576401623522384,-2.92300327466651e+48,-1.915619426085444e+53,-1.2554203470793566e+58,1.0156611269426274e-41,-134217728.0,7248,3456106496,0.03230837864034316,0.004242045160936155
1,CG,1000216,16,934,950,75,1.0418647527694702,0.13417944312095642,3.923635700109488e-44,28185722880.0,0.10374423826664057,7.364420750821609,5823998743120183324,5824280218096893980,5824561693073604636,2.608564186338271e+81,2.727135285717283e+81,2.8457063850962946e+81,3.923635700109488e-44,29125246976.0,28,1356464128,0.01389153003692627,0.0016176533461276293
1,CG,1000227,2,135,137,14,0.25,0.0625,0.0,6.910835523939123e-22,0.052295918367346934,2.8762755102040813,2040375822291828736,2040376921803456512,2040378021315084288,2.7304063551339666e-172,2.731038101167084e-172,2.7316698472002017e-172,0.0,6.911740252734103e-22,0,475063808,0.017857142857142856,0.004464285714285714
1,CG,1000228,10,852,862,70,0.8297008872032166,0.10021500289440155,0.0,2.6004203888137782e-39,0.09413159099486715,7.847539282531415,7970269595435008,7970273890402304,7970278185369600,3.937842761184821e-308,3.937844883180612e-308,3.937847005176403e-308,0.0,2.6004301979030285e-39,0,1855730,0.011852869817188808,0.0013098647288576199
1,CG,1000232,3,151,154,16,0.32692307233810425,0.06841716170310974,-6.490371073168535e+32,1.0156611269426274e-41,0.07893140416635536,3.784064430387623,31134066933760,31134083710976,31134100488192,1.5382297754431e-310,1.5382306043477e-310,1.5382314332523e-310,-1.0633823966279327e+37,1.0156611269426274e-41,4261412864,7248,0.020432692021131516,0.004115816216761544
1,CG,1000233,4,818,822,68,0.32828283309936523,0.044408734887838364,34896609280.0,3.923635700109488e-44,1.0,1.0,121618235392,121618300928,121618366464,6.00874891523e-313,6.00875215314e-313,6.00875539105e-313,36775657472.0,3.923635700109488e-44,1359609856,28,0.004827688722049489,0.0006391625008483896
1,CG,1000238,4,141,145,15,0.3888888955116272,0.07716049253940582,6.917039378533271e-22,0.0,0.11072332793119453,4.160033533827182,475074304,475074560,475074816,2.347182723e-315,2.347183988e-315,2.34718525e-315,6.917944107328251e-22,0.0,475076096,0,0.02592592636744181,0.004791299119232544
1,CG,1000239,19,712,731,62,1.2880250215530396,0.1336703896522522,2.6004876511400658e-39,0.0,0.22035499212392995,10.386589192244983,1855771,1855772,1855773,9.16874e-318,9.168747e-318,9.16875e-318,2.600497460229316e-39,0.0,1855778,0,0.020774597121823217,0.001752658831912461
1,CG,1000242,2,122,124,13,0.21590909361839294,0.023889463394880295,1.0158012567890599e-41,1.7763568394002505e-15,0.1437127149764235,8.509305383444007,2882303761517124689,2954361355555052625,3026418949592980561,1.4287342391051434e-101,9.363352709399468e-97,6.136366831632035e-92,1.0158012567890599e-41,2.9103830456733704e-11,7249,788529152,0.016608391816799458,0.0016919633809379991
1,CG,1000243,12,688,700,60,0.9645354747772217,0.0928807407617569,3.923635700109488e-44,48049946624.0,0.17780999278005902,10.88305800615763,5851301815861116956,5851583290837827612,5851864765814538268,1.745366582859061e+83,1.8212520864616286e+83,1.897137590064196e+83,3.923635700109488e-44,49928994816.0,28,1362821120,0.01607559124628703,0.0013114451309609303
1,CG,1000244,4,138,142,15,0.38383838534355164,0.05366799607872963,0.0,6.92337248009813e-22,0.17814111919820497,6.783426274801268,2040482474919723008,2040483574431350784,2040484673942978560,2.791685720346367e-172,2.7923174663794846e-172,2.792949212412602e-172,0.0,6.92427720889311e-22,0,475088640,0.02558922568957011,0.0031318477862752364
1,CG,1000245,12,657,669,57,1.066098690032959,0.13290424644947052,0.0,2.6005563147648177e-39,0.15146983171446343,7.947011564466127,7970686207262720,7970690502230016,7970694797197312,3.9380485947765446e-308,3.9380507167723355e-308,3.9380528387681265e-308,0.0,2.600566123854068e-39,0,1855827,0.01870348579005191,0.0020172229419579664
1,CG,1000251,7,114,121,13,0.800000011920929,0.1837500035762787,140737488355328.0,1.0158012567890599e-41,0.2554961099374151,3.8963156146787647,31135694323712,31135711100928,31135727878144,1.53831017918986e-310,1.53831100809446e-310,1.53831183699907e-310,2.305843009213694e+18,1.0158012567890599e-41,1593835520,7249,0.06153846245545607,0.011209936073193183
1,CG,1000252,12,582,594,52,1.0475844144821167,0.14379937946796417,60934848512.0,3.923635700109488e-44,0.1451555266337659,7.060075174213666,121624592384,121624657920,121624723456,6.00906299236e-313,6.00906623027e-313,6.0090694682e-313,62813896704.0,3.923635700109488e-44,1365966848,28,0.02014585412465609,0.002405782287657729
1,CG,1000253,4,109,113,12,0.4583333134651184,0.07735339552164078,6.929576334692278e-22,0.0,0.21969496965259624,5.532319030594834,475099136,475099392,475099648,2.34730541e-315,2.347306674e-315,2.34730794e-315,6.930481063487258e-22,0.0,475100928,0,0.038194442788759865,0.005440691818392234
1,CG,1000254,15,542,557,49,1.3069958686828613,0.1577131152153015,2.6006235770911053e-39,0.0,0.24389497985447026,8.89986308336928,1855868,1855869,1855870,9.16922e-318,9.169226e-318,9.16923e-318,2.6006333861803556e-39,0.0,1855875,0,0.026673385075160434,0.0025593981482974946
1,CG,1000257,2,101,103,11,0.2083333432674408,0.0225694440305233,1.0158012567890599e-41,-3.851859888774472e-34,0.1700168340376214,8.806871575097393,9871890383196134481,9943947977234062417,10016005571271990353,-6.983507489310786e-251,-4.576711468194717e-246,-2.99939362779609e-241,1.0158012567890599e-41,-6.310887241768095e-30,7249,2415919104,0.018939394842494617,0.0018623736583524273
